           Mean Watts                                  DX Mean Wat                      
                 Idle      Idle P     Leech     Leech P     Idle r     Idle P     Leech     Leech P
WMC              0.146      0.338      0.184      0.225     -0.058      0.710      0.176      0.254
DIT             -0.250      0.098     -0.374      0.011     -0.373      0.013      0.075      0.629
NOC              0.250      0.098      0.374      0.011      0.369      0.014     -0.073      0.640
CBO              0.166      0.274      0.231      0.127      0.174      0.259      0.142      0.359
RFC              0.159      0.298      0.160      0.293     -0.045      0.772      0.232      0.129
LCOM             0.137      0.370      0.191      0.210     -0.060      0.700      0.152      0.324
Ca               0.166      0.275      0.230      0.129      0.121      0.434      0.109      0.482
Ce               0.175      0.250      0.056      0.712      0.148      0.338     -0.059      0.702
NPM              0.126      0.408      0.183      0.229     -0.021      0.890      0.170      0.269
LCOM3            0.106      0.489      0.218      0.151     -0.293      0.054      0.097      0.531
LCO              0.143      0.349      0.139      0.363      0.101      0.513      0.240      0.117
DAM             -0.004      0.980     -0.100      0.512     -0.324      0.032      0.166      0.281
MOA             -0.127      0.404     -0.315      0.035      0.257      0.092     -0.041      0.793
MFA             -0.259      0.086     -0.076      0.621     -0.151      0.328      0.222      0.147
CAM             -0.220      0.147     -0.335      0.024      0.073      0.637     -0.253      0.098
IC              -0.259      0.086     -0.076      0.621     -0.151      0.328      0.222      0.147
CBM             -0.259      0.086     -0.076      0.621     -0.151      0.328      0.222      0.147
AMC              0.105      0.494     -0.119      0.437      0.124      0.421      0.153      0.322
