DIR1	DIR2	ADD	REMOVE	Churn	TotalFiles	TouchedFiles	FileChurn	ChurnCount	LOC	ChurnLOC
rtorrent-0.3.0	rtorrent-0.4.0	3290	1548	4838	125	62	0.496	62	19217	0.251756257480356
rtorrent-0.4.0	rtorrent-0.4.1	531	359	890	130	52	0.4	52	19986	0.0445311718202742
rtorrent-0.4.1	rtorrent-0.5.0	2515	1223	3738	141	120	0.851063829787234	120	23133	0.1615873427571
rtorrent-0.5.0	rtorrent-0.6.0	8364	6322	14686	152	61	0.401315789473684	61	26760	0.548804185351271
rtorrent-0.6.0	rtorrent-0.7.0	2148	1291	3439	166	92	0.55421686746988	92	29729	0.11567829392176
rtorrent-0.7.0	rtorrent-0.7.1	401	196	597	166	20	0.120481927710843	20	29934	0.0199438765283624
rtorrent-0.7.1	rtorrent-0.7.2	4899	4831	9730	166	51	0.307228915662651	51	30002	0.324311712552497
rtorrent-0.7.2	rtorrent-0.8.0	2907	1866	4773	191	150	0.785340314136126	150	35435	0.134697333145195
rtorrent-0.8.0	rtorrent-0.8.1	1216	1035	2251	192	46	0.239583333333333	46	35687	0.0630761902093199
rtorrent-0.8.1	rtorrent-0.8.2	34	15	49	192	7	0.0364583333333333	7	35706	0.00137231837786366
rtorrent-0.8.2	rtorrent-0.8.3	281	215	496	194	25	0.128865979381443	25	35975	0.0137873523280056
rtorrent-0.8.3	rtorrent-0.8.5	8645	6400	15045	198	63	0.318181818181818	63	38844	0.387318504788384
rtorrent-0.8.5	rtorrent-0.8.6	281	103	384	200	30	0.15	30	39260	0.0097809475292919
rtorrent-0.8.6	rtorrent-0.8.7	4018	2613	6631	214	64	0.299065420560748	64	41348	0.160370513688691
rtorrent-0.8.7	rtorrent-0.8.8	2964	1382	4346	215	58	0.269767441860465	58	43020	0.101022780102278
rtorrent-0.8.8	rtorrent-0.8.9	309	62	371	215	22	0.102325581395349	22	43267	0.00857466429380359
rtorrent-0.8.9	rtorrent-0.9.0	1110	1001	2111	217	184	0.847926267281106	184	44055	0.0479173760072636
